"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2024 Presidential Election","CUMBERLAND","President of the United States","Statewide","Republican","DONALD J TRUMP","80,267","0","0","62,582","0","0","17,278","0","0","407","0","0"
"2024 Presidential Election","CUMBERLAND","President of the United States","Statewide","Libertarian","CHASE OLIVER","921","0","0","700","0","0","220","0","0","1","0","0"
"2024 Presidential Election","CUMBERLAND","President of the United States","Statewide","Green Party","JILL STEIN","953","0","0","696","0","0","245","0","0","12","0","0"
"2024 Presidential Election","DAUPHIN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","78,327","0","0","50,426","0","0","26,722","0","0","1,179","0","0"
"2024 Presidential Election","DAUPHIN","President of the United States","Statewide","Republican","DONALD J TRUMP","69,474","0","0","55,905","0","0","12,872","0","0","697","0","0"
"2024 Presidential Election","DAUPHIN","President of the United States","Statewide","Libertarian","CHASE OLIVER","832","0","0","626","0","0","195","0","0","11","0","0"
"2024 Presidential Election","DAUPHIN","President of the United States","Statewide","Green Party","JILL STEIN","893","0","0","623","0","0","254","0","0","16","0","0"
"2024 Presidential Election","DELAWARE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","201,324","0","0","133,435","0","0","65,628","0","0","2,261","0","0"
"2024 Presidential Election","DELAWARE","President of the United States","Statewide","Republican","DONALD J TRUMP","123,421","0","0","100,303","0","0","22,069","0","0","1,049","0","0"
"2024 Presidential Election","DELAWARE","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,300","0","0","986","0","0","299","0","0","15","0","0"
"2024 Presidential Election","DELAWARE","President of the United States","Statewide","Green Party","JILL STEIN","2,127","0","0","1,576","0","0","506","0","0","45","0","0"
"2024 Presidential Election","ELK","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,483","0","0","2,887","0","0","1,580","0","0","16","0","0"
"2024 Presidential Election","ELK","President of the United States","Statewide","Republican","DONALD J TRUMP","12,543","0","0","10,724","0","0","1,784","0","0","35","0","0"
"2024 Presidential Election","ELK","President of the United States","Statewide","Libertarian","CHASE OLIVER","75","0","0","60","0","0","15","0","0","0","0","0"
"2024 Presidential Election","ELK","President of the United States","Statewide","Green Party","JILL STEIN","52","0","0","39","0","0","13","0","0","0","0","0"
"2024 Presidential Election","ERIE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","67,456","0","0","41,600","0","0","24,728","0","0","1,128","0","0"
"2024 Presidential Election","ERIE","President of the United States","Statewide","Republican","DONALD J TRUMP","68,866","0","0","56,487","0","0","11,442","0","0","937","0","0"
"2024 Presidential Election","ERIE","President of the United States","Statewide","Libertarian","CHASE OLIVER","686","0","0","517","0","0","160","0","0","9","0","0"
"2024 Presidential Election","ERIE","President of the United States","Statewide","Green Party","JILL STEIN","587","0","0","423","0","0","154","0","0","10","0","0"
"2024 Presidential Election","FAYETTE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","19,548","0","0","11,527","0","0","7,850","0","0","171","0","0"
"2024 Presidential Election","FAYETTE","President of the United States","Statewide","Republican","DONALD J TRUMP","43,633","0","0","37,089","0","0","6,193","0","0","351","0","0"
"2024 Presidential Election","FAYETTE","President of the United States","Statewide","Libertarian","CHASE OLIVER","169","0","0","127","0","0","41","0","0","1","0","0"
"2024 Presidential Election","FAYETTE","President of the United States","Statewide","Green Party","JILL STEIN","122","0","0","84","0","0","38","0","0","0","0","0"
"2024 Presidential Election","FOREST","President of the United States","Statewide","Democratic","KAMALA D HARRIS","724","0","0","437","0","0","282","0","0","5","0","0"
"2024 Presidential Election","FOREST","President of the United States","Statewide","Republican","DONALD J TRUMP","1,902","0","0","1,583","0","0","314","0","0","5","0","0"
"2024 Presidential Election","FOREST","President of the United States","Statewide","Libertarian","CHASE OLIVER","9","0","0","8","0","0","1","0","0","0","0","0"
"2024 Presidential Election","FOREST","President of the United States","Statewide","Green Party","JILL STEIN","15","0","0","11","0","0","4","0","0","0","0","0"
"2024 Presidential Election","FRANKLIN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","23,543","0","0","14,301","0","0","9,109","0","0","133","0","0"
"2024 Presidential Election","FRANKLIN","President of the United States","Statewide","Republican","DONALD J TRUMP","59,604","0","0","48,127","0","0","11,312","0","0","165","0","0"
"2024 Presidential Election","FRANKLIN","President of the United States","Statewide","Libertarian","CHASE OLIVER","457","0","0","356","0","0","97","0","0","4","0","0"
"2024 Presidential Election","FRANKLIN","President of the United States","Statewide","Green Party","JILL STEIN","280","0","0","190","0","0","85","0","0","5","0","0"
"2024 Presidential Election","FULTON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","1,102","0","0","715","0","0","374","0","0","13","0","0"
"2024 Presidential Election","FULTON","President of the United States","Statewide","Republican","DONALD J TRUMP","7,039","0","0","6,059","0","0","942","0","0","38","0","0"
"2024 Presidential Election","FULTON","President of the United States","Statewide","Libertarian","CHASE OLIVER","23","0","0","16","0","0","6","0","0","1","0","0"
"2024 Presidential Election","FULTON","President of the United States","Statewide","Green Party","JILL STEIN","13","0","0","11","0","0","1","0","0","1","0","0"
"2024 Presidential Election","GREENE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,592","0","0","2,802","0","0","1,765","0","0","25","0","0"
"2024 Presidential Election","GREENE","President of the United States","Statewide","Republican","DONALD J TRUMP","12,319","0","0","10,649","0","0","1,627","0","0","43","0","0"
"2024 Presidential Election","GREENE","President of the United States","Statewide","Libertarian","CHASE OLIVER","90","0","0","75","0","0","14","0","0","1","0","0"
"2024 Presidential Election","GREENE","President of the United States","Statewide","Green Party","JILL STEIN","235","0","0","219","0","0","16","0","0","0","0","0"
"2024 Presidential Election","HUNTINGDON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","5,368","0","0","3,591","0","0","1,745","0","0","32","0","0"
"2024 Presidential Election","HUNTINGDON","President of the United States","Statewide","Republican","DONALD J TRUMP","17,627","0","0","15,373","0","0","2,190","0","0","64","0","0"
"2024 Presidential Election","HUNTINGDON","President of the United States","Statewide","Libertarian","CHASE OLIVER","108","0","0","91","0","0","16","0","0","1","0","0"
"2024 Presidential Election","HUNTINGDON","President of the United States","Statewide","Green Party","JILL STEIN","53","0","0","38","0","0","15","0","0","0","0","0"
"2024 Presidential Election","INDIANA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","12,697","0","0","7,846","0","0","4,771","0","0","80","0","0"
"2024 Presidential Election","INDIANA","President of the United States","Statewide","Republican","DONALD J TRUMP","29,215","0","0","24,660","0","0","4,458","0","0","97","0","0"
"2024 Presidential Election","INDIANA","President of the United States","Statewide","Libertarian","CHASE OLIVER","194","0","0","147","0","0","46","0","0","1","0","0"
"2024 Presidential Election","INDIANA","President of the United States","Statewide","Green Party","JILL STEIN","123","0","0","78","0","0","44","0","0","1","0","0"
"2024 Presidential Election","JEFFERSON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,707","0","0","2,998","0","0","1,700","0","0","9","0","0"
"2024 Presidential Election","JEFFERSON","President of the United States","Statewide","Republican","DONALD J TRUMP","18,235","0","0","15,387","0","0","2,812","0","0","36","0","0"
"2024 Presidential Election","JEFFERSON","President of the United States","Statewide","Libertarian","CHASE OLIVER","131","0","0","107","0","0","23","0","0","1","0","0"
"2024 Presidential Election","JEFFERSON","President of the United States","Statewide","Green Party","JILL STEIN","56","0","0","45","0","0","11","0","0","0","0","0"
"2024 Presidential Election","JUNIATA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","2,290","0","0","1,489","0","0","796","0","0","5","0","0"
"2024 Presidential Election","JUNIATA","President of the United States","Statewide","Republican","DONALD J TRUMP","9,721","0","0","8,308","0","0","1,381","0","0","32","0","0"
"2024 Presidential Election","JUNIATA","President of the United States","Statewide","Libertarian","CHASE OLIVER","64","0","0","52","0","0","12","0","0","0","0","0"
"2024 Presidential Election","JUNIATA","President of the United States","Statewide","Green Party","JILL STEIN","29","0","0","23","0","0","6","0","0","0","0","0"
"2024 Presidential Election","LACKAWANNA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","59,510","0","0","38,410","0","0","20,728","0","0","372","0","0"
"2024 Presidential Election","LACKAWANNA","President of the United States","Statewide","Republican","DONALD J TRUMP","56,261","0","0","45,790","0","0","10,070","0","0","401","0","0"
"2024 Presidential Election","LACKAWANNA","President of the United States","Statewide","Libertarian","CHASE OLIVER","425","0","0","316","0","0","104","0","0","5","0","0"
"2024 Presidential Election","LACKAWANNA","President of the United States","Statewide","Green Party","JILL STEIN","394","0","0","260","0","0","129","0","0","5","0","0"
"2024 Presidential Election","LANCASTER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","120,119","0","0","79,423","0","0","39,080","0","0","1,616","0","0"
"2024 Presidential Election","LANCASTER","President of the United States","Statewide","Republican","DONALD J TRUMP","166,261","0","0","140,214","0","0","24,543","0","0","1,504","0","0"
"2024 Presidential Election","LANCASTER","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,727","0","0","1,388","0","0","324","0","0","15","0","0"
"2024 Presidential Election","LANCASTER","President of the United States","Statewide","Green Party","JILL STEIN","1,150","0","0","850","0","0","285","0","0","15","0","0"
"2024 Presidential Election","LAWRENCE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","15,440","0","0","9,814","0","0","5,535","0","0","91","0","0"
"2024 Presidential Election","LAWRENCE","President of the United States","Statewide","Republican","DONALD J TRUMP","31,347","0","0","25,669","0","0","5,560","0","0","118","0","0"
"2024 Presidential Election","LAWRENCE","President of the United States","Statewide","Libertarian","CHASE OLIVER","179","0","0","144","0","0","35","0","0","0","0","0"
"2024 Presidential Election","LAWRENCE","President of the United States","Statewide","Green Party","JILL STEIN","144","0","0","108","0","0","36","0","0","0","0","0"
"2024 Presidential Election","LEBANON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","24,734","0","0","14,784","0","0","9,693","0","0","257","0","0"
"2024 Presidential Election","LEBANON","President of the United States","Statewide","Republican","DONALD J TRUMP","48,282","0","0","39,124","0","0","8,818","0","0","340","0","0"
"2024 Presidential Election","LEBANON","President of the United States","Statewide","Libertarian","CHASE OLIVER","390","0","0","316","0","0","70","0","0","4","0","0"
"2024 Presidential Election","LEBANON","President of the United States","Statewide","Green Party","JILL STEIN","286","0","0","195","0","0","87","0","0","4","0","0"
"2024 Presidential Election","LEHIGH","President of the United States","Statewide","Democratic","KAMALA D HARRIS","96,317","0","0","57,279","0","0","37,587","0","0","1,451","0","0"
"2024 Presidential Election","LEHIGH","President of the United States","Statewide","Republican","DONALD J TRUMP","91,207","0","0","70,853","0","0","19,070","0","0","1,284","0","0"
"2024 Presidential Election","LEHIGH","President of the United States","Statewide","Libertarian","CHASE OLIVER","855","0","0","619","0","0","223","0","0","13","0","0"
"2024 Presidential Election","LEHIGH","President of the United States","Statewide","Green Party","JILL STEIN","1,431","0","0","953","0","0","449","0","0","29","0","0"
"2024 Presidential Election","LUZERNE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","62,504","0","0","36,005","0","0","25,561","0","0","938","0","0"
"2024 Presidential Election","LUZERNE","President of the United States","Statewide","Republican","DONALD J TRUMP","92,444","0","0","75,152","0","0","16,119","0","0","1,173","0","0"
"2024 Presidential Election","LUZERNE","President of the United States","Statewide","Libertarian","CHASE OLIVER","640","0","0","460","0","0","174","0","0","6","0","0"
"2024 Presidential Election","LUZERNE","President of the United States","Statewide","Green Party","JILL STEIN","562","0","0","385","0","0","165","0","0","12","0","0"
"2024 Presidential Election","LYCOMING","President of the United States","Statewide","Democratic","KAMALA D HARRIS","17,216","0","0","11,604","0","0","5,516","0","0","96","0","0"
"2024 Presidential Election","LYCOMING","President of the United States","Statewide","Republican","DONALD J TRUMP","41,961","0","0","34,924","0","0","6,878","0","0","159","0","0"
"2024 Presidential Election","LYCOMING","President of the United States","Statewide","Libertarian","CHASE OLIVER","296","0","0","246","0","0","46","0","0","4","0","0"
"2024 Presidential Election","LYCOMING","President of the United States","Statewide","Green Party","JILL STEIN","212","0","0","148","0","0","63","0","0","1","0","0"
"2024 Presidential Election","McKEAN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","5,115","0","0","3,422","0","0","1,669","0","0","24","0","0"
"2024 Presidential Election","McKEAN","President of the United States","Statewide","Republican","DONALD J TRUMP","14,401","0","0","12,317","0","0","2,035","0","0","49","0","0"
"2024 Presidential Election","McKEAN","President of the United States","Statewide","Libertarian","CHASE OLIVER","108","0","0","94","0","0","14","0","0","0","0","0"
"2024 Presidential Election","McKEAN","President of the United States","Statewide","Green Party","JILL STEIN","58","0","0","48","0","0","9","0","0","1","0","0"
"2024 Presidential Election","MERCER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","20,145","0","0","13,215","0","0","6,807","0","0","123","0","0"
"2024 Presidential Election","MERCER","President of the United States","Statewide","Republican","DONALD J TRUMP","37,761","0","0","30,716","0","0","6,845","0","0","200","0","0"
"2024 Presidential Election","MERCER","President of the United States","Statewide","Libertarian","CHASE OLIVER","312","0","0","242","0","0","67","0","0","3","0","0"
"2024 Presidential Election","MERCER","President of the United States","Statewide","Green Party","JILL STEIN","192","0","0","152","0","0","40","0","0","0","0","0"
"2024 Presidential Election","MIFFLIN","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,735","0","0","2,716","0","0","1,989","0","0","30","0","0"
"2024 Presidential Election","MIFFLIN","President of the United States","Statewide","Republican","DONALD J TRUMP","17,184","0","0","14,255","0","0","2,829","0","0","100","0","0"
"2024 Presidential Election","MIFFLIN","President of the United States","Statewide","Libertarian","CHASE OLIVER","95","0","0","66","0","0","29","0","0","0","0","0"
"2024 Presidential Election","MIFFLIN","President of the United States","Statewide","Green Party","JILL STEIN","57","0","0","43","0","0","14","0","0","0","0","0"
"2024 Presidential Election","MONROE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","42,007","0","0","23,358","0","0","18,148","0","0","501","0","0"
"2024 Presidential Election","MONROE","President of the United States","Statewide","Republican","DONALD J TRUMP","42,676","0","0","31,765","0","0","10,515","0","0","396","0","0"
"2024 Presidential Election","MONROE","President of the United States","Statewide","Libertarian","CHASE OLIVER","401","0","0","266","0","0","132","0","0","3","0","0"
"2024 Presidential Election","MONROE","President of the United States","Statewide","Green Party","JILL STEIN","441","0","0","290","0","0","139","0","0","12","0","0"
"2024 Presidential Election","MONTGOMERY","President of the United States","Statewide","Democratic","KAMALA D HARRIS","317,103","0","0","187,364","0","0","127,018","0","0","2,721","0","0"
"2024 Presidential Election","MONTGOMERY","President of the United States","Statewide","Republican","DONALD J TRUMP","198,311","0","0","152,478","0","0","44,411","0","0","1,422","0","0"
"2024 Presidential Election","MONTGOMERY","President of the United States","Statewide","Libertarian","CHASE OLIVER","2,508","0","0","1,800","0","0","687","0","0","21","0","0"
"2024 Presidential Election","MONTGOMERY","President of the United States","Statewide","Green Party","JILL STEIN","2,984","0","0","2,026","0","0","917","0","0","41","0","0"
"2024 Presidential Election","MONTOUR","President of the United States","Statewide","Democratic","KAMALA D HARRIS","3,862","0","0","2,351","0","0","1,469","0","0","42","0","0"
"2024 Presidential Election","MONTOUR","President of the United States","Statewide","Republican","DONALD J TRUMP","5,944","0","0","4,790","0","0","1,126","0","0","28","0","0"
"2024 Presidential Election","MONTOUR","President of the United States","Statewide","Libertarian","CHASE OLIVER","58","0","0","45","0","0","13","0","0","0","0","0"
"2024 Presidential Election","MONTOUR","President of the United States","Statewide","Green Party","JILL STEIN","44","0","0","35","0","0","9","0","0","0","0","0"
"2024 Presidential Election","NORTHAMPTON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","86,655","0","0","47,531","0","0","37,732","0","0","1,392","0","0"
